Project Number;Project SDGs;Project Name;Source;Status;Type of Partnership;Type of project;SDG scope;Description;Start Date;End Date;Partners;Info Link;Project Link
1367;5,17,3;Aspen Management Partnership for Health (AMP Health);UN DESA SDG Actions Platform;Checked - In;MSP;INI;3;As a collaboration between multi-sector partners, including the private sector, NGOs, donors, academia, and Ministries of Health (MoHs), the Aspen Management Partnership for Health (AMP Health) addresses the root causes of sub-optimal health services at the community level. Working with countries that have a bold vision for their community health systems, the partnership provides a menu of support to MoHs to strengthen management and leadership capacity. Through the AMP Health platform, partners actively problem-solve a range of real-time community health systems challenges and collaborate with local and global experts bringing together cross-sector perspectives and implementing solutions.;01 January 1970;01 January 1970;Funding Partners (to date): The Aspen Institute, USAID, Bill & Melinda Gates Foundation, GSK (GlaxoSmithKline), Merck, Margaret A. Cargill Foundation, and the MDG Health Alliance.In-Kind/Thought Partners/Advisory Network (to date): Ministries of Health (see countries below), Partners in Health (University of Global Health Equity), Living Goods, Last Mile Health, UNICEF, McCann Health, Harvard School of Public Health, Novartis, and Novo Nordisk.Note, we are in the early stages of expansion so expect partnership to grow.;www.ampforhealth.org;https://sdgs.un.org/partnerships/aspen-management-partnership-health-amp-health
1386;2,1;Increasing Household Incomes through Agri-allied Interventions;UN DESA SDG Actions Platform;Checked - In;MSP;INI;2;The goal of this partnership is to increase the income of 335,600 households by 300% by 2020 through agri & agri-allied interventions. More specifically, the following would be achieved through the interventions:1) Capacity building of farmers2) Increase in agriculture production3) Decrease in input cost in agriculture production – seed, water, fertilizer etc4) Multi cropping5) Enhanced income of households from improved agriculture practices6) Additional income from agri-allied activities7) Increase in milk production of cattle8) Decrease in expenditure on animal health through preventive measures;01 January 2010;01 January 2020;* Tata Chemicals Limited* Gujarat - Gujarat Green Revolution Corporation, Irrigation department (Government of Gujarat), District Agriculture Department (Dev Bhumi Dwarka), District Horticulture Department (Dev Bhumi Dwarka), Agriculture Technology Management Agency (Dev Bhumi Dwarka), Agriculture University, Junagadh District Animal Husbandry Department (Jamanagar), Kheti Vikas Agency (Dev Bhumi Dwarka)* West Bengal - Sutahata Block Development, Haldia Block Development, Purba Medinipur Horticulture Development Purba Medinipur Agriculture Development* Uttar Pradesh: GB Pant University of Agriculture and Technology, SVB Patel University of Agriculture and Technology, KVK - Krishi Vigyan Kendra, Directorate of Rapeseed Mustard Research, Indian Agriculture Research Institute, U. P.  Ag. - Uttar Pradesh Agriculture Department,Uttar Pradesh Animal Husbandry Department, Pradeshik Cooperative Dairy Federation, National Dairy Research Institute, Animal Welfare Production Society;http://www.tcsrd.org/index.html;https://sdgs.un.org/partnerships/increasing-household-incomes-through-agri-allied-interventions
1430;17,3;Project Last Mile;UN DESA SDG Actions Platform;Checked - In;MSP;INI;3;The Project Last Mile (PLM) partnership between The Coca-Cola system and its Foundations, USAID, The Global Fund and The Bill & Melinda Gates Foundation facilitates knowledge transfer from The Coca-Cola system to Ministries of Health and develops their capacity to create and sustain efficiencies to improve health outcomes in Africa.The Coca-Cola system brings over 85 years of global and local expertise operating across Africa to the partnership. PLM links these experts, skilled in distribution, logistics, marketing and HR, with Ministries of Health to improve access to medicines and health outcomes. PLM is committed to reaching 10 countries by 2020.;01 February 2010;01 December 2019;"USAID, The Global Fund to Fight AIDS, Tuberculosis and Malaria, Bill and Melinda Gates Foundation, The Coca-Cola system and its Foundations; Ministries of Health and partners in PLM countries; Yale Global Health Leadership Institute; Global Environment and Technology Foundation";http://www.projectlastmile.com;https://sdgs.un.org/partnerships/project-last-mile
1433;17,3;China Neonatal Resuscitation Program;UN DESA SDG Actions Platform;Checked - In;MSP;INI;3;"The China Neonatal Resuscitation Program (NRP) aims to reduce neonatal mortality and morbidity caused by preventable conditions, such as birth asphyxia, through ensuring at least one trained and skilled health worker is present at every hospital delivery. Objectives include:•	Develop and implement nationwide cascade training: providing training to individuals who in turn provide the same training to others •	Improve the quality of NRP training through cascade supervisions •	Implement policy strategies that ensure sustainable NRP in 90% of delivery facilities•	Evaluate and document NRP long-term impact";01 January 2004;01 January 2015;"Partner Organizations•	The National Health and Family Planning Commission (NHFPC, formerly known as Chinese Ministry of Health)•	Johnson & JohnsonImplementation Partner•	National Center for Women and Children’s Health (NCWCH), Chinese Center for Disease Control and Prevention (CDC)Technical Supporting Partners•	Society of Peri-natal Medicine, Chinese Medical Association•	Obstetric Nursing, Chinese Nursing Association (CNA)•	American Academy of Pediatrics (AAP): technical and professional expertise";http://nrp.chinawch.org.cn/;https://sdgs.un.org/partnerships/china-neonatal-resuscitation-program
1434;16,17,1,3;Human Resources for Maternal Health;UN DESA SDG Actions Platform;Checked - In;MSP;INI;3;In 2011, Johnson & Johnson was the first private sector partner to join the Health 4+ (H4+) UN multi-agency collaboration. Together, J&J partnered with the H4+ to strengthen human resources to improve maternal and newborn survival in Ethiopia and Tanzania, two high burden, high priority countries. The program has been in operation for five years, focusing on three priority areas: Pre-service and in-service training for health workers, as well as targeted systems strengthening. Together with H4+ partners, we aim to create lasting improvements in maternal and newborn survival through training, technical assistance and mentoring of health care workers.;01 January 2011;01 January 2015;Johnson & Johnson in collaboration with the Health 4+ (H4+): a joint UN initiative including the World Health Organization, UNFPA, UNICEF, UNDP, World Bank, Governments, and National Universities and training centers in Ethiopia and Tanzania.;http://www.everywomaneverychild.org/resources/archives/h4-plus;https://sdgs.un.org/partnerships/human-resources-maternal-health
1436;2;10YFP Sustainable Food Systems Programme;UN DESA SDG Actions Platform;Checked - In;MSP;INI;2;"The 10YFP Sustainable Food Systems Programme (SFS Programme) is a global multi-stakeholder initiative to accelerate the shift towards more sustainable food systems, all along the food value chain, from farm to fork. Among its focus themes are the promotion of sustainable diets; the reduction of food losses and waste; and strengthening resilient and diverse food production systems. The SFS Programme promotes activities that fall under these topics, in the areas of awareness raising, capacity development as well as facilitating access to knowledge, information and tools. The SFS Programme is one of six initiatives of the 10YFP.";01 January 1970;01 January 1970;Co-Lead organizations: Switzerland, South Africa, WWF, HivosMembers of the Multi-stakeholder Advisory Committee: Argentina, Brazil, Costa Rica, France, Honduras, Netherlands, United States, Biovision Foundation, IISD, IFOAM - Organics International, Global Nature Fund, German Development Institute, Hebrew University, Universitat Oberta de Catalunya, ENEA, CIHEAM, FAO, UNEP, UNSCN, Barilla, FoodDrinkEurope, Nestlé, SmaackmakersProgramme Partners: 72 from all UN regions.;http://www.unep.org/10yfp/food;https://sdgs.un.org/partnerships/10yfp-sustainable-food-systems-programme
1487;2,17;Compact2025;UN DESA SDG Actions Platform;Checked - In;MSP;INI;2;"Compact2025 is an initiative for ending hunger and undernutrition by 2025. It brings stakeholders together to set priorities, innovate and learn, fine-tune actions, build on successes, and synthesize sharable lessons to accelerate progress.Compact2025- helps countries bring together sectors involved in food security and nutrition, build capacity, craft strategies, experiment with programs and policies, and make rapid progress;  - creates a Knowledge and Innovation Hub to provide policymakers and practitioners with pragmatic, evidence-based guidance on scaling up successes to end hunger and undernutrition; and- complements established networks/initiatives (e.g. Scaling Up Nutrition, Zero Hunger Challenge, etc.).";01 January 1970;01 January 1970;PARTNERS: European Commission, Helen Keller International, Indian Council of Agricultural Research, International Fund for Agricultural Development, M S Swaminathan Research Foundation, UPL Limited, World Food Programme;http://www.compact2025.org;https://sdgs.un.org/partnerships/compact2025
1507;4,10,17;African Leadership in ICT for Knowledge Society Advancement;UN DESA SDG Actions Platform;Checked - In;MSP;INI;4;The Global E-Schools and Communities Initiative (GESCI), is an international non-governmental organization (INGO) founded by the United Nations’ Information and Communications Technology (ICT) Taskforce. GESCI provides leadership capacity building for the advancement of knowledge in society, as well as strategic advice to relevant ministries in developing countries on the effective use of ICTs, education and science technology innovation (STI) for inclusive knowledge society development.In partnership with the African Union Commission (AUC) and others, GESCI has developed the African Leadership in ICT (ALICT) capacity building programme and is working to implement it across 16 Anglophone and Francophone countries in Africa.  So far, almost 500 senior-level government officials have graduated from the course.;01 January 1970;01 December 2016;* Global e-Schools and Communities Initiative (GESCI) - Implementing agency* African Union Commission (AUC)* Ministry for Foreign Affairs, Finland* Ministries of Education, Information and Communications Technology (ICT),  and Science Technology Innovation (STI)* United Nations (UN)* African Development Bank (AfDB)* Association for the Development of Education in Africa (ADEA)* Intergovernmental Authority on Development (IGAD)* Economic Community of West African States (ECOWAS)* Islamic Educational, Scientific, and Cultural Organization (ISESCO)* Private sector companies, universities, INGOs, and NGOs;http://gesci.org/african-leadership-in-ict-alict.html;https://sdgs.un.org/partnerships/african-leadership-ict-knowledge-society-advancement
1590;6;#SDGAction26313-Water Supply Sanitation and Hygiene;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;Pi-Lo Shudh Pani Seva Foundation, is committed to fulfill the need of pure & safe drinking water of people during travelling. The technology ensures highest recovery of Water i.e., 90-95% and only 5-10% or lesser waste is generated.The 90-95% water recovery technology has enabled us to serve more people and waste least water. Adoption of this technology has resulted in eradication of 13,191,380.5 plastic pets. Till now we have dispensed and served 12,517,561.75 liters of water to 23,320,351 consumers. We are committed to ensure that our Water ATMs are serving the mankind by dispensing every drop of water pure and safe.;04 August 2015;22 December 2020;"a)	Climate Engineersb)	Spray Technicsc)	Winatel Technologiesd)	OMEGA, Rudrapure)	Global Interfaith Wash Alliancef)	Ganga Action Parivarg)	Life Insurance Corporation of Indiah)	New India Assurancei)	Delhi Metro Rail Corporation (DMRC)j)	East Delhi Municipal Corporation (EDMC)k)	South Delhi Municipal Corporation (SDMC)l)	Uttar Pradesh- Mathura, Ayodhyam)	Government of Bihar-Patnan)	Rajasthan-Udaipuro)	BSF-Wagah borderp)	UPSRTC";www.pi-lo.in/0120-4823950/Toll Free:18002700638/Facebook page;https://sdgs.un.org/partnerships/sdgaction26313-water-supply-sanitation-and-hygiene
1596;4,17;The Kalsom Movement;UN DESA SDG Actions Platform;Checked - In;MSP;INI;4;The Kalsom Movement, is a student-led charity movement that established since 1994 which aimed to address education inequality in Malaysia by bridging the knowledge and opportunity gap faced by the underprivileged students in rural areas regardless any gender, races and religion in empowering them with awakened potentials to pursue excellence in life and to develop their capacity for contribution back to the society and nation. It is also providing a platform for students to volunteer and instill a civic awareness in having the responsibility to make a huge tangible difference to the society and country as a whole.;01 October 2018;01 October 2023;Teach For Malaysia, UKEC, MALAYSIAN STUDENTS' ASSOCIATION MALAYSIA FRANCE (Masaf), PERWAKILAN PERSATUAN WANITA KEMENTERIAN LUAR NEGERI, The Bristol Student Commonwealth, SHELL, KUALA LUMPUR EMBASSY OF THE UNITED STATES OF AMERICA,YAYASAN HASANAH, MIDF, 1UTAMA, PNB, CIMB FOUNDATION, Education MALAYSIA, UBS, SMECORP MALAYSIA, FARLIM GROUP MALAYSIA BHD,THE MALAYSIA BOOK of RECORDS, RAKAN MUDA, MARC, Small Changes, Ministry of Youth and Sports(KBS), KL SKETCH NATION, Malaysian Students Association of Southampton(MSA), Malaysian Students' Council of Australia, Yayasan Pembangunan Ekonomi Islam Malaysia ( YapeIM), iM4U, Ministry of Education Malaysia (MOE), BURSA Malaysia, PENNSTATE, THE BURSA BULLCHARGE, KHIND STARFISH FOUNDATION, MAGICBIRD PUBLISHING.;http://www.kalsom-movement.org;https://sdgs.un.org/partnerships/kalsom-movement
1608;3,4,5,16,17;Telecare Uganda;UN DESA SDG Actions Platform;Checked - In;MSP;INI;3;"Problem:AYINET’s activities show that 1 out of 4 adults in Northern Uganda have unaddressed war effects and 1 out of 10 young people are suffering from serious mental health issues. The reality is that the majority of Africans are struggling to emerge from the afflictions of poverty. The continent remains seriously behind with regards to technological innovations, as a result from social upheavals that remain persistently unaddressed. Local communities show serious warning signs of possible escalation of indiscriminate human sufferings.Solution: Advancing technology as a path towards national cohesion, peace and social uplift - Telecare aims to realize a dignified community with minimized immediate human dangers; by leveraging our community and existing technology; through simplified, localized, inclusive, distilled and improved socio-cultural and digital innovation capable of driving the full spectrum of sustainable development at all levels. The four Telecare target realizations are: (1) setting up a call center that provides mental, psychological, medical and legal support to all kinds of victims and survivors of violations; (2) implementing a CRM software package to capture and manage all client and case information; (3) making available a digital library that provides tailored content to clients, partner organizations, social workers and volunteers; (4) develop a long-term scale-out strategy across Africa.";02 August 2021;31 December 2022;AYINET ngo - Uganda Asugo Consulting sprl - Belgium ENSEK ltd - United Kingdom;https://endelea.org;https://sdgs.un.org/partnerships/telecare-uganda
1616;17,1,3;International Health Partnership for UHC 2030 (UHC2030);UN DESA SDG Actions Platform;Checked - In;MSP;INI;2;UHC2030 provides a multi-stakeholder platform that promotes collaborative working at global and country levels on health systems strengthening (HSS). We advocate increased political commitment to UHC and facilitate accountability and knowledge sharing. In countries receiving external assistance, we continue to promote adherence to effective development cooperation principles as the most important way to ensure coordination around HSS. In 2016, the International Health Partnership + (IHP+) transformed into UHC2030 to respond to the health-related Sustainable Development Goals, particularly SDG3, and expanded its scope to include health systems strengthening to achieve universal health coverage.;01 January 2016;01 January 1970;Countries:Afghanistan, Australia, Belgium, Benin, Burkina Faso, Burundi, Cameroon, Canada, Cape Verde, Chad, Chile, Cote d’Ivoire, Comoros, Democratic Republic of Congo, Denmark, Djibouti, El Salvador, Ethiopia, European Union-European Commission, Finland, France, Gambia, Germany, Ghana, Guinea, Guinea Bissau, Haiti, Indonesia, Iran, Italy, Japan, Kenya, Liberia, Luxembourg, Madagascar, Mali, Mauritania, Mozambique, Myanmar, Nepal, Netherlands, Niger, Nigeria, Norway, Pakistan, Portugal, Rwanda, Senegal, Sierra Leone, South Africa, Spain, Sweden, Sudan, Thailand, Togo, Uganda, United Kingdom, United States, Vietnam, Zambia.Multi-lateral organisations and global health initiatives:African Development Bank, Gavi the Vaccine Alliance, Global Fund to Fight AIDS, TB and Malaria, International Labour Organization, International Organization for Migration, OECD, UNAIDS, UNICEF, UNDP, UNFPA, WHO, World Bank.Philanthropic organisations:Bill and Melinda Gates Foundation, Rockefeller Foundation, United Nations FoundationCivil society organisations:African Platform for UHC, AMREF Health Africa, BRAC, Bangladesh, Community Family and Aid Foundation, Ghana, Community Working Group on Health Zimbabwe, Health Enabled, South Africa, Management Sciences for Health, Medicus Mundi International – Network Health For All, Outreach Scout Foundation, Malawi, Positive Generation Cameroon, The Worldwide Hospice Palliative Care Association.UHC2030 Related Initiatives:Alliance for Health Policy and Systems Research (AHPSR), P4H Network for health financing and social health protection, Global Health Workforce Network (GHWN), Global Service Delivery Network (GSDN), Health Data Collaborative (HDC), Health Systems Global (HSG), Health Systems Governance Collaborative, Interagency Supply Chain Group, Joint Learning Network for Universal Health Coverage (JLN), Primary Health Care Performance Initiative (PHCPI), Universal Health Coverage Partnership.;https://www.uhc2030.org/;https://sdgs.un.org/partnerships/international-health-partnership-uhc-2030-uhc2030
1619;8,2,5,1;Food security and nutrition for children and Salvadoran households (SANNHOS);UN DESA SDG Actions Platform;Checked - In;MSP;INI;2;National level statistics in El Salvador show that chronic child malnutrition is prevalent and that it begins with limited healthy eating practices for pregnant women and less exclusive breastfeeding.El Salvador’s government has been developing new plans and regulations to tackle food security and nutrition among the most vulnerable Salvadorians. By reconsidering the role of women, the programme aims to increase access to health services and promote women-owned nutrition micro business able to reduce the country high rates of prevalence of under nutrition and obesity.;01 February 2015;31 December 2016;UN agencies: FAO, UNICEF, WHO and WFPNational partners: National and Local Government and Private Sector organizations. Higher Education institutions and Non Profit Organizations;http://www.sdgfund.org/food-security-and-nutrition-children-and-salvadoran-households-sannhos;https://sdgs.un.org/partnerships/food-security-and-nutrition-children-and-salvadoran-households-sannhos
1636;4,6,1;Wash in schools Brazil;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;The project Wash in schools is an initiative of the “Instituto 4 Elementos” (Brazil) and CeTAmb Lab (Italy). The objective of the project is to improve the sanitary and environmental conditions of the public schools of Anapolis and to guarantee access to safe drinking water and sanitation. The  beneficiaries of the project are the students, professors and officials of the 12 public schools of Anapolis.;01 January 1970;01 January 1970;Fondazione SIPEC, CeTAmb Lab, University of Brescia, University of Goias (UEG), Aqualit Tecnologia em Saneamento Ltda, Municipal Secretary of Education, University Fama;http://www.instituto4elementos.org/parceiros-3/projetos-atuais/;https://sdgs.un.org/partnerships/wash-schools-brazil
1687;2;Organic Islands: Growing Our Future;UN DESA SDG Actions Platform;Checked - In;MSP;INI;2;"Organic agriculture has a significant contribution to make towards sustainable development of small island developing states due to its environment and climate friendly production systems, its suitability for small holders and its adaptation to local conditions.  The entire organic system is based on participation and necessary public-private partnerships, whereby smallholders are integrated into markets. Further, the diversity of food cultures, traditional knowledge and nutritional security are safeguarded by organic agriculture. The Partnership will:-improve local and regional food and nutritional security;-improve farmer livelihoods by enabling farmers to trade, with access to both domestic and export markets, and by reducing their dependence on imported production inputs;-improve human health, by providing better access to high-quality, clean and nutritious food;-promote diversified, productive and sustainable farming systems able to face global climate crisis; -protect and enhance the environment, by encouraging the use of environmentally friendly management practices; and-improve the well-being of people and communities, by promoting the adoption of ethical labour and social justice principles.";N/A;01 January 1970;"Regional:  SPC, Pacific Island Farmers Organisation network, USP, Pacific High Level Organics Group (PHLOG)Cook Islands- Titikaveka Growers AssociationFiji- Fiji Organic Association, Teitei TaveuniFrench Polynesia - Eden Parc, BioFetiaKiribati: K-Organic Producers, Kiribati Organic Farmers Association, Department of Agriculture and LivestockNiue: Niue Island Organic Farmers AssociationNew Caledonia - Association Bio Caledonia, STOP GMO Pacifique, Chamber d'agriculture de Nouvelle-CaledoniePalau: Palau Organic Growers Association, Palau Taiwan Farmers Association (Taiwan, Province of China)Papua New Guinea - NARISamoa- Women in Business DevelopmentSolomon Islands: Kustom Gaden Association; Zai na Tina Organic Demonstration FarmsTonga: Tonga National Youth CongressVanuatu- Vanuatu Virgin Coconut Oil Ltd, SANMA Community Coconuts, Tebakor Island Products Ltd , Vanuatu Organics Ltd , Farm Support Association, Aufferville, Department of AgricultureWallis & Futuna - Chambre de Commerce d'Industrie des Metiers et de l'AgricultureInternational and Development partner support to date: International Fund for Agricultural Development, United Nations Development Programme, Food and Agriculture Organisation, French Pacific Fund, European Union, Government of French Polynesia, Government of New Caledonia";http://asia.ifad.org/web/poetcom/home;https://sdgs.un.org/partnerships/organic-islands-growing-our-future
1779;4;Rebuilding Education in Haiti;UN DESA SDG Actions Platform;Checked - In;MSP;INI;4;"The main objective of this partnership is to help the reconstruction of the primary school  ""Republic of Chile,"" where 584 girls study. This is one of the few public schools in Haiti, a country in which about half of the population is illiterate. The school was severely damaged after the earthquake that struck the country in 2010, and since then girls from preschool through ninth grade were relocated to other educational establishments in Port au Prince. The new school will have a better infrastructure, based on Chilean seismic standards, to provide a safe environment for the students. It will also include improvements based on suggestions made by the girls, according to their needs and vision for the new facility.During a second stage, the project will focus on improving the quality of the education provided at the ""Republic of Chile"" school, creating a replicable model for other similar establishments in Haiti (particularly for female students at the pre-school and primary school levels).The partnership will contribute to the sustainable development of Haiti, a small island developing State, by contributing to the improvement of its educational model.";N/A;01 January 1970;Chilean International Cooperation AgencyGovernment of Haiti (Education Ministry)Komatsu Cummins  (private company)America Solidaria (NGO)Pontificia Universidad Católica de Chile (private Chilean University);http://www.queremosser.cl;https://sdgs.un.org/partnerships/rebuilding-education-haiti
1914;10,5,17,3;Global Health Progress Knowledge Hub: Collaborations between the biopharmaceutical industry and partners in support of the SDGs.;UN DESA SDG Actions Platform;Checked - In;MSP;INI;3;"Global Health Progress is an interactive knowledge hub highlighting over 250 global health programs between the innovative biopharmaceutical industry and more than 1000 cross-sector partners in support of the SDGs. It houses two pages:(1) Explore Our Collaborations (https://globalhealthprogress.org/explore-our-collaborations/) which allows you to explore programs by disease area, geography, target population and more; and,(2) SDGs in Focus (https://globalhealthprogress.org/sdgs-in-focus/) which aggregates data points to demonstrate program's contribution to SDG 3, 5, 10 and 17.IFPMA has worked closely with external stakeholders, including representatives from academia, NGOs, foundations and media, to develop a platform which will bring value to these audiences. Based on this, Global Health Progress aims to highlight the innovative biopharmaceutical industry and partners expertise, experience and areas of focus, along with opportunities for further collaboration.The platforms 3 main objectives are:(1) Highlighting programs and their contribution to the SDGs to drive cross-sector collaboration;(2) Being a catalyst for advancing innovative programs and collaborations; and,(3) Acting as a knowledge hub to partners by sharing blueprints, best practices and tools to support program implementation.";25 October 2019;01 January 1970;Diverse cross-sector partners including:- Academia or research institutes- Bilateral development organizations- Global NGOs- Governments- Hospitals/Health Facilities- Intergovernmental Organizations and Multilaterals- Local NGOs- Pharma company foundations- Private foundations or development organizations- Product development partnerships- Professional and trade associationS- Other businesses, including financial institutions, fast moving consumer goods (FMCG), generic manufacturers, and insurance, life sciences, logistics and supply chain, pharmaceutical, technology and telecoms organizations.;www.globalhealthprogress.org;https://sdgs.un.org/partnerships/global-health-progress-knowledge-hub-collaborations-between-biopharmaceutical-industry
1988;15,4,8,6,2,5,16,17,1,3,13;Reduction of the multidimensional poverty index in rural communities in southern Honduras;UN DESA SDG Actions Platform;Checked - In;MSP;INI;2,3,4,6;Agrolíbano has a Social Investment Policy aligned to the SDGs, which is implemented by the Agrolíbano Foundation. Until July 2018, the impact recorded is reflected in 4 indicators:• Reduction of the population index in extreme poverty (by income) from 49.3% in 2013 to 45% in 2018.• Decrease in the global malnutrition rate in children under 3 years of age. 14.7% in 2013 to 6.5% in 2018.• Reduction of the infant mortality rate from 29 / 1000nv in 2013 to 13 / 1000nv in 2018.• Reduction of illiteracy by 60%, decreasing from 12% in 2013 to 4.8% in 2018.With the vision of implementing a business model of social investment that promotes well-being to those left behind, we focus our efforts on actions to reduce multidimensional poverty. Thus, in 2018 we conducted a study of the IPM - Multidimensional Poverty Index in 100% of the neighboring communities, resulting in 0.43, with an incidence of 89% and an intensity of 48.09%. We have applied the analysis of the deprivations found in the study to the strategic plan that from 2019 to 2023 will allow us to contribute to the sustainable human development of the population, through a comprehensive approach to the dimensions related to multidimensional poverty in the rural area of the southern zone of Honduras.This plan is composed of 6 programs, which according to dimension are detailed as follows:• Dimension: standard of living• Program: Strengthening citizen participation for peace and development Action: 1- Strengthening leadership in communities 2- Accompaniment for the development and management of Community Development Plans with a comprehensive approach and integrated management• Program: Local economic development: 1- Strengthening of Rural Savings and Credit Funds 2- Promotion of entrepreneurship 3- Strengthening of agricultural production as an income-generating economic activity• Dimension: Health• Program: Comprehensive early childhood care Action: 1- Child Nutrition 2- Initial education - early stimulation 3- Pre-basic education• Program: Healthy families Action: 1- Promotion of sexual health and reproductive health 2- Healthy housing - water and sanitation 3- Food security and healthy lifestyles 4- Health committees - community participation 5- Improved attention to health problems unattended healthDimension: Education• Program: Five Star Schools Action: 1- Pedagogical and organizational strengthening 2- Promotion of a Culture of Peace through art, culture and sport 3- School health 4- School environmental responsibility 5- Infrastructure improvement.• Program: Access to education for groups in social exclusion. Action: 1- Literacy 2- Non-formal education alternatives to improve coverage of basic education.To measure the results of the programs there is a monitoring system based on 17 indicators that are measured annually, some of these indicators reflect the change observed in the deprivations linked to multidimensional poverty.;01 April 2019;31 March 2023;Agrolíbano Foundation (non-governmental organization), Namasigüe Mayoralty (local government), Nacaome Mayoralty (local government), El Corpus Mayoralty (local government), Apacilagua Mayoralty (local government), Ministry of Education (government), Ministry of Health (government) , Honduras Outreach Inc. (philanthropic organization), TeenSmart International (non-governmental organization), Terra Foundation (non-governmental organization), CONEANFO (government), CDEMipyme (non-governmental organization), Agrolibanian client companies in Europe and the US (private sector) , Other Honduran companies present in the southern part of the country (private sector);www.agrolibano.com;https://sdgs.un.org/partnerships/reduction-multidimensional-poverty-index-rural-communities-southern-honduras
2015;17,3;Intersectoral Forum to Fight NCDs in Brazil;UN DESA SDG Actions Platform;Checked - In;MSP;INI;6;"The ForumDCNTs was established as an initiative to build capacity for cross-sectoral dialogue and partnerships to address the threat of noncommunicable diseases (NCDs) in Brazil, guided by the SDG 17, to achieve the SDG 3.4 target of reducing premature mortality caused by NCDs by one third by 2030. Although several projects addressing NCDs exist in isolation, there has been no neutral ground in Brazil to facilitate collaboration and peer education between sectors to maximize impact with the goal of achieving sustainable and scalable solutions. The ForumDCNTs' biannual convenings are attended by ~50 leaders and authorities, so from: 6 public sector institutions (Federal Ministry of Health, Municipal and State Secretaries of Health and Universities), 14 health companies (pharma and medtech) and 23 not-for-profit organizations. During the morning period, the three sectors share knowledge and best practices of multisectoral programs and policies to fight NCDs; in the afternoon, workgroups share lessons and develop action plans to co-design or co-accelerate innovative strategies. Areas explored include: epidemiological updates, partnership building strategies, return-on-investment evaluations, public health priorities, and strategies for improving prevention and treatment of the main NCDs and their risk factors.Moreover, the ForumDCNTs disseminates events, opportunities for partnerships, case studies, and facilitates access to resources through a monthly newsletter, webinars, Facebook page, Twitter (@ForumDCNTs), YouTube channel, LinkedIn group and website:www.ForumDCNTs.orgTwo committee lead the initiative, the Organizing Committee and the Advisory Committee. In total, there are twelve active members from private, NGO, public and CSO representatives in the Committees.Interestingly, more than 75% of the participants of biannual convenings are returning participants, all of them declare that the convening promos intersectoral dialogue and cooperation; 96% identify new partners during the convenings; 77.4% expresses motivation to engage in multisectoral partnerships between the convenings; and we have been observing an increase of 50% in the number of intersectoral projects in implementation phase between each convening.In addition, the ForumDCNTs has already facilitated, for the first time in Brazil, the following achievements:•       NGOs united toward common goals and participation as a group at the UN High Level Meeting on NCDs in 2018;•	Public authorities committing to the sustainability of NCDs programs, proposed in conjunction with the private sector (e.g. diabetes and hypertension care programs in primary healthcare);•	Increased opportunities for the private and public sectors to participate in discussions with civil society (e.g. sugary drinks taxation);•	Foundation of an alliance for advocacy in cardiovascular care (GAC);•	Incorporation of additional themes in existing programs (e.g. mental disorders and hypercholesterolemia, hypertension and diabetes screening and referrals).";25 October 2017;31 December 2030;Secretaria Municipal da Saúde de São Paulo (local government), Secretaria Estadual da Saúde de São Paulo (local government), Secretaria Municipal da Saúde de Vitória da Conquista (local government), Ministério da Saúde (government), Universidade Federais da Bahia (academic institution), Universidade Federal de Minas Gerais (academic institution), FGV (academic institution) and Universidade de Sao Paulo (academic institution), Medtronic Foundation (philanthropic organization), Novartis Foundation (philanthropic organization), Associação Samaritano (philanthropic organization), Abbott (private sector), Amgen (private sector), AstraZeneca (private sector), Bayer (private sector), BD (private sector), Biomm (private sector), Itaú (private sector), Johnson & Johnson (private sector), Medtronic (private sector), MSD (private sector), Novo Nordisk (private sector), Pfizer (private sector), Roche (private sector), Sanofi (private sector), Servier (private sector), Takeda (private sector), Abrale/Abrasta (NGO), ACT Promoção da Saúde (NGO), ADJ Diabetes Brasil (NGO), Agita-SP/CELAFISCS (NGO), AHF (NGO), Amigos Múltiplos pela Esclerose (NGO), Artemisia (NGO), CIES Global (NGO), FENAD-ANAD (NGO), GRAACC (NGO), IDF-SACA (NGO), IEP-HSL (NGO), Instituto Desiderata (NGO), Instituto Oncoguia (NGO), Instituto Tellus (NGO), HIAE (NGO), PHI (NGO), Plan International Brasil (NGO), Sociedade Brasileira de Diabetes (scientific community) e Vital Strategies (NGO);www.ForumDCNTs.org;https://sdgs.un.org/partnerships/intersectoral-forum-fight-ncds-brazil
